ticker,as_of,insider,position,transaction,shares,value,ownership
SPOT,2026-06-02,SODERSTROM GUSTAV STIG VICTOR,Chief Executive Officer,Sale at price 496.52 per share.,20833,10344030.0,D
SPOT,2026-05-28,WARRIOR PADMASREE,Director,Stock Award(Grant) at price 0.00 per share.,329,0.0,D
SPOT,2026-05-28,MARSHALL CHRISTOPHER P,Director,Stock Award(Grant) at price 0.00 per share.,658,0.0,D
SPOT,2026-05-28,SARANDOS THEODORE ANTHONY JR.,Director,Stock Award(Grant) at price 0.00 per share.,494,0.0,D
SPOT,2026-05-28,O NEILL HEIDI,Director,Stock Award(Grant) at price 0.00 per share.,658,0.0,D
SPOT,2026-05-28,SARANDOS THEODORE ANTHONY JR.,Director,Conversion of Exercise of derivative security at price 241.57 per share.,5630,1360039.0,D
SPOT,2026-05-26,STAGGS THOMAS O,Director,Conversion of Exercise of derivative security at price 241.57 - 362.36 per share.,8942,2880148.0,D
SPOT,2026-05-26,MARSHALL CHRISTOPHER P,Director,Conversion of Exercise of derivative security at price 241.57 per share.,5630,1360039.0,D
SPOT,2026-05-26,STAGGS THOMAS O,Director,Sale at price 526.00 per share.,5477,2880902.0,D
SPOT,2026-05-26,MARSHALL CHRISTOPHER P,Director,Sale at price 519.86 per share.,2650,1377629.0,D
SPOT,2026-05-22,LORENTZON SVEN HANS MARTIN,Director,Conversion of Exercise of derivative security at price 169.16 - 362.36 per share.,35380,8160313.0,D
SPOT,2026-05-22,WARRIOR PADMASREE,Director,Conversion of Exercise of derivative security at price 241.57 per share.,2815,680020.0,D
SPOT,2026-05-22,LORENTZON SVEN HANS MARTIN,Director,Sale at price 525.73 per share.,35380,18600331.0,D
SPOT,2026-05-05,NORSTROM ALEX,Chief Executive Officer,Conversion of Exercise of derivative security at price 151.25 per share.,5436,822195.0,D
SPOT,2026-05-05,SODERSTROM GUSTAV STIG VICTOR,Chief Executive Officer,Conversion of Exercise of derivative security at price 151.25 per share.,20833,3150991.0,D
SPOT,2026-05-05,NORSTROM ALEX,Chief Executive Officer,Sale at price 433.07 per share.,5436,2354192.0,D
SPOT,2026-05-05,SODERSTROM GUSTAV STIG VICTOR,Chief Executive Officer,Sale at price 430.72 per share.,20833,8973092.0,D
SPOT,2026-05-04,MCCARTHY BARRY C,Director,Conversion of Exercise of derivative security at price 241.57 per share.,5630,1360039.0,I
SPOT,2026-05-01,JENKINS DUSTEE,Officer,Stock Award(Grant) at price 0.00 per share.,5662,0.0,D
SPOT,2026-05-01,LUNDSTROM ANNA,Officer,Stock Award(Grant) at price 0.00 per share.,8607,0.0,D
SPOT,2026-05-01,LUIGA CHRISTIAN,Chief Financial Officer,Stock Award(Grant) at price 0.00 per share.,9343,0.0,D
SPOT,2026-04-01,NORSTROM ALEX,Chief Executive Officer,Conversion of Exercise of derivative security at price 151.25 per share.,5436,822195.0,D
SPOT,2026-04-01,SODERSTROM GUSTAV STIG VICTOR,Chief Executive Officer,Conversion of Exercise of derivative security at price 151.25 per share.,20833,3150991.0,D
SPOT,2026-04-01,NORSTROM ALEX,Chief Executive Officer,Sale at price 479.51 per share.,5436,2606629.0,D
SPOT,2026-04-01,SODERSTROM GUSTAV STIG VICTOR,Chief Executive Officer,Sale at price 473.52 per share.,20833,9864807.0,D
PINS,2026-08-12,SILBERMANN BENJAMIN,Director and Beneficial Owner of more than 10% of a Class of Security,Sale at price 23.23 - 23.88 per share.,93750,2208220.0,I
PINS,2026-08-11,BROWN CLAUDE LEONARD,Officer,Sale at price 23.88 per share.,12240,292285.0,D
PINS,2026-08-07,BRAU DONNELLY JULIA,Chief Financial Officer,Sale at price 23.48 per share.,59096,1387716.0,D
PINS,2026-07-22,SILBERMANN BENJAMIN,Director and Beneficial Owner of more than 10% of a Class of Security,Sale at price 22.54 - 22.57 per share.,93750,2114180.0,I
PINS,2026-07-15,SILBERMANN BENJAMIN,Director and Beneficial Owner of more than 10% of a Class of Security,Sale at price 22.25 - 23.03 per share.,93750,2122420.0,I
PINS,2026-07-15,RAJARAM GOKUL,Director,Sale at price 22.85 per share.,1050,23992.0,D
PINS,2026-07-08,SILBERMANN BENJAMIN,Director and Beneficial Owner of more than 10% of a Class of Security,Sale at price 22.22 - 22.63 per share.,93750,2102508.0,I
PINS,2026-07-01,SILBERMANN BENJAMIN,Director and Beneficial Owner of more than 10% of a Class of Security,Sale at price 21.45 - 21.64 per share.,93750,2019881.0,I
PINS,2026-06-24,SILBERMANN BENJAMIN,Director and Beneficial Owner of more than 10% of a Class of Security,Sale at price 19.84 - 20.18 per share.,93750,1869602.0,I
PINS,2026-06-24,WALCOTT WANJIKU JUANITA,Officer,Sale at price 19.65 per share.,14208,279187.0,D
PINS,2026-06-17,SILBERMANN BENJAMIN,Director and Beneficial Owner of more than 10% of a Class of Security,Sale at price 20.66 - 21.15 per share.,93750,1959825.0,I
PINS,2026-06-17,RAJARAM GOKUL,Director,Sale at price 20.85 per share.,1050,21892.0,D
PINS,2026-06-10,SILBERMANN BENJAMIN,Director and Beneficial Owner of more than 10% of a Class of Security,Sale at price 21.43 - 21.78 per share.,93750,2025689.0,I
PINS,2026-06-03,SILBERMANN BENJAMIN,Director and Beneficial Owner of more than 10% of a Class of Security,Sale at price 20.28 - 20.50 per share.,93750,1911530.0,I
PINS,2026-05-29,WALCOTT WANJIKU JUANITA,Officer,Sale at price 20.46 per share.,27337,559402.0,D
PINS,2026-05-27,RAJARAM GOKUL,Director,Sale at price 20.00 per share.,1050,21000.0,D
PINS,2026-05-22,BERGH CHARLES V,Director,Stock Award(Grant) at price 19.29 per share.,13996,269983.0,D
PINS,2026-05-22,SCHENKEL SCOTT F,Director,Stock Award(Grant) at price 19.29 per share.,13996,269983.0,D
PINS,2026-05-22,SILBERMANN BENJAMIN,Director and Beneficial Owner of more than 10% of a Class of Security,Stock Award(Grant) at price 19.29 per share.,13996,269983.0,D
PINS,2026-05-22,WISHOM ANDREA M,Director,Stock Award(Grant) at price 19.29 per share.,13996,269983.0,D
PINS,2026-05-22,COLEMAN SALAAM,Director,Stock Award(Grant) at price 19.29 per share.,13996,269983.0,D
PINS,2026-05-22,STEELMAN KECIA,Director,Stock Award(Grant) at price 19.29 per share.,13996,269983.0,D
PINS,2026-05-22,STEINBERG MARC,Director,Stock Award(Grant) at price 19.29 per share.,13996,269983.0,D
